1,"Dimensions and weights (in mm and kg) (where necessary refer to drawings)",TRUE
1.1.,Dimensions to be complied with when building un-bodied chassis,
1.1.1.,Length,
1.1.2.,Width,
1.1.3.,Unladen height,
1.1.4.,Front overhang,
1.1.5.,Rear overhang,
1.2.,Weights ,
1.2.1.,Maximum payload declared by manufacturer,
2,Equipment’s,
2.1,Safety Glass,TRUE
2.1.1.,Safety Glass for Windscreen,TRUE
2.1.1.1,Make ,
2.1.1.2,Type Approval Number/E-marking / BIS license number:,
2.1.1.3,Thickness (mm),
2.1.1.4,Rake Angle,
2.1.1.5,Part No. (If applicable),
2.1.1.6,Identification,
2.1.1.7,Type (flat/curved clear/tinted),
2.1.2,Other glazing ,TRUE
2.1.2.1,Make ,
2.1.2.2,Type Approval Number/E-marking / BIS license number:,
2.1.2.3,Thickness mm,
2.1.2.4, Part No. (If applicable),
2.1.2.5,Type (Toughened / Laminated),
2.1.2.6,Thickness mm,
2.2,Windscreen wiper(s),TRUE
2.2.1,Type (Manual/power),
2.2.2,No. of wipers,
2.3,Wiper motor,
2.3.1,Make,
2.3.2,Type,
2.3.3,Identification mark,
2.3.4,Rated voltage,
2.3.5,Sweep frequency (Cycles/min),
2.3.6,Highest sweep frequency(Cycles/Min),
2.3.7,Lowest sweep frequency(Cycles/Min),
2.4,Wiper arm,
2.4.1,Length,
2.4.2,Make,
2.5,Wiper blade,
2.5.1,Length,
2.5.2,Make,
2.6,Washer tank,TRUE
2.6.1,Type,
2.6.2,Make,
2.6.3,Identification No. / Part No,
2.6.4,Capacity,
2.6.5,Material,
2.7,Washer tank motor / Washer Pump if provided,TRUE
2.7.1,Make,
2.7.2,Nos. of Nozzles,
2.8,Detailed technical description  : Layout including location of "R" Point "H" Point and related dimensions of wiping area and related dimensions of wiper arm(s) and co-ordinates of mounting (see AIS-045),
2.9,Seats,
2.9.1,Number,
2.9.2,Location,
2.9.3,Coordinates or drawing of the R point declared by manufacturer,
2.9.3.1,Driving seat,
2.9.4,Intended seat-back inclination,
2.9.4.1,Driving seat,
3,Seat dimensions ,TRUE
3.1,Driver seat ,
3.1.1,Width mm (minimum width maximum width at front end & maximum width at rear end),
3.1.2,Width mm (minimum width maximum width),
3.2,Passenger seat,
3.2.1,Seat type (separate / bench),
3.2.2,Width mm,
3.2.3,Depth mm,
4,General layout of the door structure for passenger compartment with a dimension of door top edge from adjacent passenger seat cushion top surface.,TRUE
5,Passengers Leg space dimension mm,TRUE
6,Seat base height mm,TRUE
6.1,Driver seat,
6.2,Passenger seat,
7,Seat back dimensions mm,TRUE
7.1,Seat back upper edge height from H point:,
7.1.1,Driver seat,
7.1.2,Passenger seat,
7.2,Seat back height:,
7.2.1,Driver seat,
7.2.2,Passenger seat,
8,Free height over seating position (Head Room) from H point mm.,TRUE
8.1,Driver seat,
8.2,Passenger seat,
9,Provision for rear entry if provided) : ,TRUE
9.1,Climbing step dimensions mm,
9.1.1,Maximum height from ground,
9.1.2,Width of step,
9.1.3,Depth of step,
9.1.4,Protective structure top edge height from adjacent seat base top surface mm,
10,Reflective tape(AIS-090),TRUE
10.1,Front,TRUE
10.1.1,Make,
10.1.2,Width of tape(s) in mm,
10.1.3,Identification: TAC No. / BIS License No. / E- Marking,
10.2,Rear,TRUE
10.2.1,Make,
10.2.2,Width of tape(s) in mm,
10.2.3,Identification: TAC No. / BIS License No. / E- Marking,
10.2.4,Dimensional Drawing indicating installation details of reflective Tapes at front Rear & side of the vehicle / load body / container / Tanker etc. as per AIS-090,
